"Origin","OriginTerm","CoreTerm"
"icd10cm:H21303:official","idiopathic cysts of iris, ciliary body or anterior chamber, bilateral","iris ciliary body anterior chamber bilateral idiopathic cysts"
"icd10cm:H21309:official","idiopathic cysts of iris, ciliary body or anterior chamber, unspecified eye","iris ciliary body anterior chamber eye idiopathic cysts"
"icd10cm:H2131:official","exudative cysts of iris or anterior chamber","iris anterior chamber exudative cysts"
"icd10cm:H21311:official","exudative cysts of iris or anterior chamber, right eye","iris anterior chamber right eye exudative cysts"
"icd10cm:H21312:official","exudative cysts of iris or anterior chamber, left eye","iris anterior chamber left eye exudative cysts"
"icd10cm:H21313:official","exudative cysts of iris or anterior chamber, bilateral","iris anterior chamber bilateral exudative cysts"
"icd10cm:H21319:official","exudative cysts of iris or anterior chamber, unspecified eye","iris anterior chamber eye exudative cysts"
"icd10cm:H2132:official","implantation cysts of iris, ciliary body or anterior chamber","iris ciliary body anterior chamber implantation cysts"
"icd10cm:H21321:official","implantation cysts of iris, ciliary body or anterior chamber, right eye","iris ciliary body anterior chamber right eye implantation cysts"
"icd10cm:H21322:official","implantation cysts of iris, ciliary body or anterior chamber, left eye","iris ciliary body anterior chamber left eye implantation cysts"
"icd10cm:H21323:official","implantation cysts of iris, ciliary body or anterior chamber, bilateral","iris ciliary body anterior chamber bilateral implantation cysts"
"icd10cm:H21329:official","implantation cysts of iris, ciliary body or anterior chamber, unspecified eye","iris ciliary body anterior chamber eye implantation cysts"
"icd10cm:H2133:official","parasitic cyst of iris, ciliary body or anterior chamber","iris ciliary body anterior chamber parasitic cyst"
"icd10cm:H21331:official","parasitic cyst of iris, ciliary body or anterior chamber, right eye","iris ciliary body anterior chamber right eye parasitic cyst"
"icd10cm:H21332:official","parasitic cyst of iris, ciliary body or anterior chamber, left eye","iris ciliary body anterior chamber left eye parasitic cyst"
"icd10cm:H21333:official","parasitic cyst of iris, ciliary body or anterior chamber, bilateral","iris ciliary body anterior chamber bilateral parasitic cyst"
"icd10cm:H21339:official","parasitic cyst of iris, ciliary body or anterior chamber, unspecified eye","iris ciliary body anterior chamber eye parasitic cyst"
"icd10cm:H2134:official","primary cyst of pars plana","pars plana primary cyst"
"icd10cm:H21341:official","primary cyst of pars plana, right eye","pars plana right eye primary cyst"
"icd10cm:H21342:official","primary cyst of pars plana, left eye","pars plana left eye primary cyst"
"icd10cm:H21343:official","primary cyst of pars plana, bilateral","pars plana bilateral primary cyst"
"icd10cm:H21349:official","primary cyst of pars plana, unspecified eye","pars plana eye primary cyst"
"icd10cm:H2135:official","exudative cyst of pars plana","pars plana exudative cyst"
"icd10cm:H21351:official","exudative cyst of pars plana, right eye","pars plana right eye exudative cyst"
"icd10cm:H21352:official","exudative cyst of pars plana, left eye","pars plana left eye exudative cyst"
"icd10cm:H21353:official","exudative cyst of pars plana, bilateral","pars plana bilateral exudative cyst"
"icd10cm:H21359:official","exudative cyst of pars plana, unspecified eye","pars plana eye exudative cyst"
"icd10cm:H2140:official","pupillary membranes, unspecified eye","pupillary membranes"
"icd10cm:H215:official","other and unspecified adhesions and disruptions of iris and ciliary body","iris ciliary body adhesions disruptions"
"icd10cm:H2150:official","unspecified adhesions of iris","iris adhesions"
"icd10cm:H21501:official","unspecified adhesions of iris, right eye","iris right eye adhesions"
"icd10cm:H21502:official","unspecified adhesions of iris, left eye","iris left eye adhesions"
"icd10cm:H21503:official","unspecified adhesions of iris, bilateral","iris bilateral adhesions"
"icd10cm:H21509:official","unspecified adhesions of iris and ciliary body, unspecified eye","iris ciliary body eye adhesions"
"icd10cm:H2151:official","anterior synechiae (iris)","anterior synechiae iris"
"icd10cm:H21521:official","goniosynechiae, right eye","goniosynechiae"
"icd10cm:H21531:official","iridodialysis, right eye","iridodialysis"
"icd10cm:H2154:official","posterior synechiae (iris)","posterior synechiae iris"
"icd10cm:H2155:official","recession of chamber angle","chamber angle recession"
"icd10cm:H21551:official","recession of chamber angle, right eye","chamber angle right eye recession"
"icd10cm:H21552:official","recession of chamber angle, left eye","chamber angle left eye recession"
"icd10cm:H21553:official","recession of chamber angle, bilateral","chamber angle bilateral recession"
"icd10cm:H21559:official","recession of chamber angle, unspecified eye","chamber angle eye recession"
