"Origin","OriginTerm","CoreTerm"
"icd10cm:S62627D:official+abbr","disp fx of middle phalanx of left little finger, 7thd","middle phalanx left little finger 7thd disp fx"
"icd10cm:S62627G:official","displaced fracture of middle phalanx of left little finger, subsequent encounter for fracture with delayed healing","middle phalanx left little finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62627G:official+abbr","disp fx of middle phalanx of left little finger, 7thg","middle phalanx left little finger 7thg disp fx"
"icd10cm:S62627K:official","displaced fracture of middle phalanx of left little finger, subsequent encounter for fracture with nonunion","middle phalanx left little finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62627K:official+abbr","disp fx of middle phalanx of left little finger, 7thk","middle phalanx left little finger 7thk disp fx"
"icd10cm:S62627P:official","displaced fracture of middle phalanx of left little finger, subsequent encounter for fracture with malunion","middle phalanx left little finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62627P:official+abbr","disp fx of middle phalanx of left little finger, 7thp","middle phalanx left little finger 7thp disp fx"
"icd10cm:S62627S:official","displaced fracture of middle phalanx of left little finger, sequela","middle phalanx left little finger sequela displaced fracture"
"icd10cm:S62627S:official+abbr","disp fx of middle phalanx of left little finger, sequela","middle phalanx left little finger sequela disp fx"
"icd10cm:S62628A:official","displaced fracture of middle phalanx of other finger, initial encounter for closed fracture","middle phalanx finger initial encounter closed fracture displaced fracture"
"icd10cm:S62628A:official+abbr","displaced fracture of middle phalanx of other finger, init","middle phalanx finger init displaced fracture"
"icd10cm:S62628B:official","displaced fracture of middle phalanx of other finger, initial encounter for open fracture","middle phalanx finger initial encounter open fracture displaced fracture"
"icd10cm:S62628B:official+abbr","displaced fracture of middle phalanx of other finger, 7thb","middle phalanx finger 7thb displaced fracture"
"icd10cm:S62628D:official","displaced fracture of middle phalanx of other finger, subsequent encounter for fracture with routine healing","middle phalanx finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62628D:official+abbr","displaced fracture of middle phalanx of other finger, 7thd","middle phalanx finger 7thd displaced fracture"
"icd10cm:S62628G:official","displaced fracture of middle phalanx of other finger, subsequent encounter for fracture with delayed healing","middle phalanx finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62628G:official+abbr","displaced fracture of middle phalanx of other finger, 7thg","middle phalanx finger 7thg displaced fracture"
"icd10cm:S62628K:official","displaced fracture of middle phalanx of other finger, subsequent encounter for fracture with nonunion","middle phalanx finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62628K:official+abbr","displaced fracture of middle phalanx of other finger, 7thk","middle phalanx finger 7thk displaced fracture"
"icd10cm:S62628P:official","displaced fracture of middle phalanx of other finger, subsequent encounter for fracture with malunion","middle phalanx finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62628P:official+abbr","displaced fracture of middle phalanx of other finger, 7thp","middle phalanx finger 7thp displaced fracture"
"icd10cm:S62628S:official","displaced fracture of middle phalanx of other finger, sequela","middle phalanx finger sequela displaced fracture"
"icd10cm:S62628S:official+abbr","disp fx of middle phalanx of other finger, sequela","middle phalanx finger sequela disp fx"
"icd10cm:S62629A:official+abbr","disp fx of middle phalanx of unspecified finger, init","middle phalanx finger init disp fx"
"icd10cm:S62629B:official+abbr","disp fx of middle phalanx of unspecified finger, 7thb","middle phalanx finger 7thb disp fx"
"icd10cm:S62629D:official+abbr","disp fx of middle phalanx of unspecified finger, 7thd","middle phalanx finger 7thd disp fx"
"icd10cm:S62629G:official+abbr","disp fx of middle phalanx of unspecified finger, 7thg","middle phalanx finger 7thg disp fx"
"icd10cm:S62629K:official+abbr","disp fx of middle phalanx of unspecified finger, 7thk","middle phalanx finger 7thk disp fx"
"icd10cm:S62629P:official+abbr","disp fx of middle phalanx of unspecified finger, 7thp","middle phalanx finger 7thp disp fx"
"icd10cm:S62630A:official","displaced fracture of distal phalanx of right index finger, initial encounter for closed fracture","distal phalanx right index finger initial encounter closed fracture displaced fracture"
"icd10cm:S62630A:official+abbr","disp fx of distal phalanx of right index finger, init","distal phalanx right index finger init disp fx"
"icd10cm:S62630B:official","displaced fracture of distal phalanx of right index finger, initial encounter for open fracture","distal phalanx right index finger initial encounter open fracture displaced fracture"
"icd10cm:S62630B:official+abbr","disp fx of distal phalanx of r idx fngr, init for opn fx","distal phalanx r idx fngr init opn fx disp fx"
"icd10cm:S62630D:official","displaced fracture of distal phalanx of right index finger, subsequent encounter for fracture with routine healing","distal phalanx right index finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62630D:official+abbr","disp fx of dist phalanx of r idx fngr, 7thd","dist phalanx r idx fngr 7thd disp fx"
"icd10cm:S62630G:official","displaced fracture of distal phalanx of right index finger, subsequent encounter for fracture with delayed healing","distal phalanx right index finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62630G:official+abbr","disp fx of dist phalanx of r idx fngr, 7thg","dist phalanx r idx fngr 7thg disp fx"
"icd10cm:S62630K:official","displaced fracture of distal phalanx of right index finger, subsequent encounter for fracture with nonunion","distal phalanx right index finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62630K:official+abbr","disp fx of dist phalanx of r idx fngr, 7thk","dist phalanx r idx fngr 7thk disp fx"
"icd10cm:S62630P:official","displaced fracture of distal phalanx of right index finger, subsequent encounter for fracture with malunion","distal phalanx right index finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62630P:official+abbr","disp fx of dist phalanx of r idx fngr, 7thp","dist phalanx r idx fngr 7thp disp fx"
"icd10cm:S62630S:official","displaced fracture of distal phalanx of right index finger, sequela","distal phalanx right index finger sequela displaced fracture"
"icd10cm:S62630S:official+abbr","disp fx of distal phalanx of right index finger, sequela","distal phalanx right index finger sequela disp fx"
"icd10cm:S62631A:official","displaced fracture of distal phalanx of left index finger, initial encounter for closed fracture","distal phalanx left index finger initial encounter closed fracture displaced fracture"
"icd10cm:S62631A:official+abbr","disp fx of distal phalanx of left index finger, init","distal phalanx left index finger init disp fx"
"icd10cm:S62631B:official","displaced fracture of distal phalanx of left index finger, initial encounter for open fracture","distal phalanx left index finger initial encounter open fracture displaced fracture"
"icd10cm:S62631B:official+abbr","disp fx of distal phalanx of l idx fngr, init for opn fx","distal phalanx l idx fngr init opn fx disp fx"
"icd10cm:S62631D:official","displaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with routine healing","distal phalanx left index finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62631D:official+abbr","disp fx of dist phalanx of l idx fngr, 7thd","dist phalanx l idx fngr 7thd disp fx"
"icd10cm:S62631G:official","displaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with delayed healing","distal phalanx left index finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62631G:official+abbr","disp fx of dist phalanx of l idx fngr, 7thg","dist phalanx l idx fngr 7thg disp fx"
"icd10cm:S62631K:official","displaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with nonunion","distal phalanx left index finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62631K:official+abbr","disp fx of dist phalanx of l idx fngr, 7thk","dist phalanx l idx fngr 7thk disp fx"
"icd10cm:S62631P:official","displaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with malunion","distal phalanx left index finger subsequent encounter fracture malunion displaced fracture"
