"Origin","OriginTerm","CoreTerm"
"umls:MTHICD9:term_string","other specified crystal arthropathies involving multiple sites","crystal arthropathies sites"
"umls:ICPC2ICD10ENG:term_string","crystals; arthropathy","crystals"
"umls:SNMI:term_string","crystal-induced arthritis and synovitis, nos","crystal arthritis synovitis"
"umls:SNMI:term_string","crystalline arthritis, nos","crystalline arthritis"
"umls:MSH:term_string","arthritides, crystalline","arthritides"
"umls:RCD:term_string","crystal-related arthropathy and periarthropathy","crystal arthropathy periarthropathy"
"umls:SNOMEDCT_US:term_string","crystal arthropathy (disorder)","crystal arthropathy disorder"
"umls:MEDCIN:term_string","crystalline arthropathy (diagnosis)","crystalline arthropathy diagnosis"
"umls:RCD:term_string","chronic post - rheumatic arthropathy","chronic post rheumatic arthropathy"
"umls:SNOMEDCT_US:term_string","non-deforming erosive arthropathy","non deforming erosive arthropathy"
"umls:SNOMEDCT_US:term_string","jaccoud's syndrome (disorder)","jaccoud's syndrome disorder"
"umls:ICPC2ICD10ENG:term_string","jaccoud; arthropathy","jaccoud"
"umls:MEDCIN:term_string","chronic postrheumatic arthropathy (diagnosis)","chronic postrheumatic arthropathy diagnosis"
"umls:MSH:term_string","kashin-beck disease","kashin beck disease"
"umls:SNM:term_string","kashin-bek disease","kashin bek disease"
"umls:SNMI:term_string","kaschin-bek disease","kaschin bek disease"
"umls:MEDCIN:term_string","kashin-beck disease (diagnosis)","kashin beck disease diagnosis"
"umls:ICPC2ICD10ENG:term_string","kaschin-beck","kaschin beck"
"umls:SNOMEDCT_US:term_string","kashin-beck disease (disorder)","kashin beck disease disorder"
"umls:SNOMEDCT_US:term_string","kashin-beck disease of the hand","the hand kashin beck disease"
"umls:MTHICD9:term_string","kaschin-beck disease involving hand","kaschin beck hand"
"umls:MEDCIN:term_string","kaschin-beck disease of hand","hand kaschin beck disease"
"umls:SNOMEDCT_US:term_string","kashin-beck disease of the hand (disorder)","the hand disorder kashin beck disease"
"umls:MEDCIN:term_string","kaschin-beck disease of hand (diagnosis)","hand diagnosis kaschin beck disease"
"umls:SNOMEDCT_US:term_string","kashin-bek disease of the hand","the hand kashin bek disease"
"umls:MEDCIN:term_string","kashin-beck disease of multiple sites","multiple sites kashin beck disease"
"umls:MTHICD9:term_string","kaschin-beck disease involving multiple sites","kaschin beck sites"
"umls:MEDCIN:term_string","kaschin-beck disease of multiple sites","multiple sites kaschin beck disease"
"umls:SNOMEDCT_US:term_string","kashin-beck disease of multiple sites (disorder)","multiple sites disorder kashin beck disease"
"umls:MEDCIN:term_string","kaschin-beck disease of multiple sites (diagnosis)","multiple sites diagnosis kaschin beck disease"
"umls:SNOMEDCT_US:term_string","kashin-bek disease of multiple sites","multiple sites kashin bek disease"
"umls:ICPC2P:term_string","synovitis;villonodular","synovitis"
"umls:ICD9CM:term_string","villonodular synovitis, site unspecified","villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right glenohumeral joint","right glenohumeral joint diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of right glenohumeral joint","right glenohumeral joint diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of right glenohumeral joint","right glenohumeral joint pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right glenohumeral joint (disorder)","right glenohumeral joint disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right glenohumeral joint (diagnosis)","right glenohumeral joint diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of right shoulder","right shoulder pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left glenohumeral joint","left glenohumeral joint diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of left glenohumeral joint","left glenohumeral joint diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of left glenohumeral joint","left glenohumeral joint pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left glenohumeral joint (disorder)","left glenohumeral joint disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left glenohumeral joint (diagnosis)","left glenohumeral joint diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of left shoulder","left shoulder pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right elbow","right elbow diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of right elbow","right elbow diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right elbow (disorder)","right elbow disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right elbow (diagnosis)","right elbow diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of right elbow","right elbow pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left elbow","left elbow diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of left elbow","left elbow diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left elbow (disorder)","left elbow disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left elbow (diagnosis)","left elbow diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of left elbow","left elbow pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right wrist","right wrist diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of right wrist","right wrist diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right wrist (disorder)","right wrist disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right wrist (diagnosis)","right wrist diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of right wrist","right wrist pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left wrist","left wrist diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of left wrist","left wrist diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left wrist (disorder)","left wrist disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left wrist (diagnosis)","left wrist diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of left wrist","left wrist pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right hand","right hand diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of right hand","right hand diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of right hand (disorder)","right hand disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right hand (diagnosis)","right hand diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of right hand","right hand pigmented villonodular synovitis"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left hand","left hand diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumour of left hand","left hand diffuse tenosynovial giant cell tumour"
"umls:SNOMEDCT_US:term_string","diffuse tenosynovial giant cell tumor of left hand (disorder)","left hand disorder diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left hand (diagnosis)","left hand diagnosis diffuse tenosynovial giant cell tumor"
"umls:SNOMEDCT_US:term_string","pigmented villonodular synovitis of left hand","left hand pigmented villonodular synovitis"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right knee","right knee diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right knee (diagnosis)","right knee diagnosis diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left knee","left knee diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left knee (diagnosis)","left knee diagnosis diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right ankle and foot","right ankle foot diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of right ankle and foot (diagnosis)","right ankle foot diagnosis diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left ankle and foot","left ankle foot diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of left ankle and foot (diagnosis)","left ankle foot diagnosis diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of multiple sites (diagnosis)","multiple sites diagnosis diffuse tenosynovial giant cell tumor"
"umls:MEDCIN:term_string","diffuse tenosynovial giant cell tumor of multiple sites","multiple sites diffuse tenosynovial giant cell tumor"
"umls:ICPC2ICD10ENG:term_string","palindromic; rheumatism","palindromic"
"umls:RCD:term_string","hench-rosenberg syndrome","hench rosenberg syndrome"
"umls:MEDCIN:term_string","palindromic rheumatism (diagnosis)","palindromic rheumatism diagnosis"
"umls:SNOMEDCT_US:term_string","palindromic rheumatism (disorder)","palindromic rheumatism disorder"
"umls:MEDCIN:term_string","palindromic rheumatism of right hip","right hip palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of right hip (diagnosis)","right hip diagnosis palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of left hip","left hip palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of left hip (diagnosis)","left hip diagnosis palindromic rheumatism"
"umls:SNOMEDCT_US:term_string","palindromic rheumatism of right knee","right knee palindromic rheumatism"
"umls:SNOMEDCT_US:term_string","palindromic rheumatism of right knee (disorder)","right knee disorder palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of right knee (diagnosis)","right knee diagnosis palindromic rheumatism"
"umls:SNOMEDCT_US:term_string","palindromic rheumatism of left knee","left knee palindromic rheumatism"
"umls:SNOMEDCT_US:term_string","palindromic rheumatism of left knee (disorder)","left knee disorder palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of left knee (diagnosis)","left knee diagnosis palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of right ankle and foot","right ankle foot palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of right ankle and foot (diagnosis)","right ankle foot diagnosis palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of left ankle and foot","left ankle foot palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of left ankle and foot (diagnosis)","left ankle foot diagnosis palindromic rheumatism"
"umls:MTHICD9:term_string","palindromic rheumatism involving other specified sites","palindromic rheumatism sites"
"umls:SNOMEDCT_US:term_string","palindromic rheumatism of multiple sites","multiple sites palindromic rheumatism"
"umls:MEDCIN:term_string","palindromic rheumatism of multiple sites (diagnosis)","multiple sites diagnosis palindromic rheumatism"
"umls:SNOMEDCT_US:term_string","palindromic rheumatism of multiple sites (disorder)","multiple sites disorder palindromic rheumatism"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of right shoulder region","joint right shoulder region intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of right shoulder region (disorder)","joint right shoulder region disorder intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of right shoulder","right shoulder intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of left shoulder region","joint left shoulder region intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of left shoulder region (disorder)","joint left shoulder region disorder intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of left shoulder","left shoulder intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of right elbow","joint right elbow intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of right elbow (disorder)","joint right elbow disorder intermittent effusion"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of right elbow (diagnosis)","right elbow diagnosis intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of right elbow","right elbow intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of left elbow","joint left elbow intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of left elbow (disorder)","joint left elbow disorder intermittent effusion"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of left elbow (diagnosis)","left elbow diagnosis intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of left elbow","left elbow intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of right hip","right hip intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of right hip","joint right hip intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of right hip (disorder)","joint right hip disorder intermittent effusion"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of right hip (diagnosis)","right hip diagnosis intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of left hip","left hip intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of left hip (disorder)","joint left hip disorder intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of left hip","joint left hip intermittent effusion"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of left hip (diagnosis)","left hip diagnosis intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of right knee","right knee intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of right knee (disorder)","right knee disorder intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of right knee","joint right knee intermittent effusion"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of right knee (diagnosis)","right knee diagnosis intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of left knee","left knee intermittent hydrarthrosis"
"umls:SNOMEDCT_US:term_string","intermittent effusion of joint of left knee","joint left knee intermittent effusion"
"umls:SNOMEDCT_US:term_string","intermittent hydrarthrosis of left knee (disorder)","left knee disorder intermittent hydrarthrosis"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of left knee (diagnosis)","left knee diagnosis intermittent hydrarthrosis"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of other site","site intermittent hydrarthrosis"
"umls:MEDCIN:term_string","intermittent hydrarthrosis other site","intermittent hydrarthrosis site"
"umls:MEDCIN:term_string","intermittent hydrarthrosis of other site (diagnosis)","site diagnosis intermittent hydrarthrosis"
"umls:MEDCIN:term_string","intermittent hydrarthrosis multiple sites (diagnosis)","intermittent hydrarthrosis diagnosis"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy (disorder)","traumatic arthropathy disorder"
"umls:MEDCIN:term_string","traumatic arthropathy (diagnosis)","traumatic arthropathy diagnosis"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of shoulder","shoulder traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of shoulder (disorder)","shoulder disorder traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of shoulder (diagnosis)","shoulder diagnosis traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy-elbow","traumatic arthropathy elbow"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of elbow","elbow traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of elbow (disorder)","elbow disorder traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of elbow (diagnosis)","elbow diagnosis traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy-wrist","traumatic arthropathy wrist"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of wrist","wrist traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of wrist (disorder)","wrist disorder traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of wrist (diagnosis)","wrist diagnosis traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of the hand","the hand traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of hand","hand traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of the hand (disorder)","the hand disorder traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of hand (diagnosis)","hand diagnosis traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy-hip","traumatic arthropathy hip"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of hip","hip traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of hip (disorder)","hip disorder traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of hip (diagnosis)","hip diagnosis traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy-knee","traumatic arthropathy knee"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of knee","knee traumatic arthropathy"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of knee (disorder)","knee disorder traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of knee (diagnosis)","knee diagnosis traumatic arthropathy"
"umls:MTHICD9:term_string","traumatic arthropathy involving other specified sites","arthropathy involving sites"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of multiple sites","multiple sites traumatic arthropathy"
"umls:MTHICD9:term_string","traumatic arthropathy involving multiple sites","arthropathy multiple sites"
"umls:SNOMEDCT_US:term_string","traumatic arthropathy of multiple sites (disorder)","multiple sites disorder traumatic arthropathy"
"umls:MEDCIN:term_string","traumatic arthropathy of multiple sites (diagnosis)","multiple sites diagnosis traumatic arthropathy"
"umls:ICD9CM:term_string","other specified disorders of joint, site unspecified","joint site specified disorders"
"umls:ICD9CM:term_string","other specified arthropathy, site unspecified","specified arthropathy"
"umls:CST:term_string","arthropathy (nos)","arthropathy nos"
"umls:SNM:term_string","disease of joint","joint disease"
"umls:SNM:term_string","diseases of joints","joints diseases"
"umls:SNMI:term_string","diseases of the joints","the joints diseases"
"umls:HPO:term_string","disease of the joints","the joints disease"
"umls:SNMI:term_string","arthrosis, nos","arthrosis"
"umls:SNMI:term_string","disorder of joint, nos","joint nos disorder"
"umls:ICPC2ICD10ENG:term_string","joint; disorder","joint"
"umls:ICD9CM:term_string","unspecified disorder of joint, site unspecified","joint site disorder"
"umls:MEDCIN:term_string","joint disorder (diagnosis)","joint disorder diagnosis"
"umls:SNOMEDCT_US:term_string","arthropathy (disorder)","arthropathy disorder"
"umls:ICPC2ICD10ENG:term_string","osteoarthrosis; joint","osteoarthrosis"
"umls:MEDCIN:term_string","arthropathy (diagnosis)","arthropathy diagnosis"
"umls:MEDCIN:term_string","other specified arthritis of right ankle and foot","right ankle foot specified arthritis"
"umls:MEDCIN:term_string","other specified arthritis of right ankle and foot (diagnosis)","right ankle foot diagnosis specified arthritis"
"umls:MEDCIN:term_string","other specified arthritis of left ankle and foot","left ankle foot specified arthritis"
"umls:MEDCIN:term_string","other specified arthritis of left ankle and foot (diagnosis)","left ankle foot diagnosis specified arthritis"
"umls:MEDCIN:term_string","osteoarthritis generalized heberden's nodes with arthropathy","osteoarthritis generalized heberden's nodes"
"umls:MEDCIN:term_string","osteoarthritis generalized bouchard's nodes with arthropathy","osteoarthritis generalized bouchard's nodes"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of both hips","both hips post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of both hips (diagnosis)","both hips diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","osteoarthritis post-traumatic hip bilateral","osteoarthritis post bilateral"
"umls:MSH:term_string","osteoarthritis of hips","hips osteoarthritis"
"umls:MSH:term_string","osteoarthritis of the hip","the hip osteoarthritis"
"umls:ICD10AM:term_string","coxarthrosis [arthrosis of hip]","hip coxarthrosis arthrosis"
"umls:ICD10AM:term_string","coxarthrosis, unspecified","coxarthrosis"
"umls:RCD:term_string","oa - osteoarthritis of hip","hip oa osteoarthritis"
"umls:SNOMEDCT_VET:term_string","djd of hip joint","hip joint djd"
"umls:MEDCIN:term_string","osteoarthrosis of hip","hip osteoarthrosis"
"umls:SNOMEDCT_US:term_string","degenerative joint disease of hip","hip degenerative joint disease"
"umls:SNOMEDCT_US:term_string","osteoarthritis of hip (disorder)","hip disorder osteoarthritis"
"umls:MEDCIN:term_string","osteoarthrosis of hip (diagnosis)","hip diagnosis osteoarthrosis"
"umls:MEDCIN:term_string","osteoarthritis of hip (diagnosis)","hip diagnosis osteoarthritis"
"umls:MSH:term_string","osteoarthritis of the knee","the knee osteoarthritis"
"umls:RCD:term_string","oa - osteoarthritis of knee","knee oa osteoarthritis"
"umls:SNOMEDCT_US:term_string","knee djd (degenerative joint disease)","djd degenerative disease"
"umls:MEDCIN:term_string","osteoarthrosis of knee","knee osteoarthrosis"
"umls:SNOMEDCT_US:term_string","degenerative joint disease of knee","knee degenerative joint disease"
"umls:SNOMEDCT_US:term_string","osteoarthritis of knee (disorder)","knee disorder osteoarthritis"
"umls:MEDCIN:term_string","osteoarthrosis of knee (diagnosis)","knee diagnosis osteoarthrosis"
"umls:MEDCIN:term_string","osteoarthritis of knee (diagnosis)","knee diagnosis osteoarthritis"
"umls:SNMI:term_string","osteoarthrosis of the carpometacarpal joint of the thumb","the carpometacarpal joint the thumb osteoarthrosis"
"umls:SNOMEDCT_US:term_string","osteoarthritis basilar joint of thumb","thumb osteoarthritis basilar joint"
"umls:HPO:term_string","osteoarthritis of the first carpometacarpal joint","the first carpometacarpal joint osteoarthritis"
"umls:MEDCIN:term_string","osteoarthritis of first carpometacarpal joint (diagnosis)","first carpometacarpal joint diagnosis osteoarthritis"
"umls:MEDCIN:term_string","osteoarthritis hand carpometacarpal joint first","osteoarthritis carpometacarpal first"
"umls:SNOMEDCT_US:term_string","osteoarthrosis of the carpometacarpal joint of the thumb (disorder)","the carpometacarpal joint the thumb disorder osteoarthrosis"
"umls:MEDCIN:term_string","primary osteoarthritis of right shoulder","right shoulder primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of right shoulder (diagnosis)","right shoulder diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left shoulder","left shoulder primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left shoulder (diagnosis)","left shoulder diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of shoulder","shoulder primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of shoulder (diagnosis)","shoulder diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of right elbow","right elbow primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of right elbow (diagnosis)","right elbow diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left elbow","left elbow primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left elbow (diagnosis)","left elbow diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of elbow","elbow primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of elbow (diagnosis)","elbow diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of right wrist","right wrist primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of right wrist (diagnosis)","right wrist diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left wrist","left wrist primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left wrist (diagnosis)","left wrist diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of right hand","right hand primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of right hand (diagnosis)","right hand diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left hand","left hand primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of left hand (diagnosis)","left hand diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of hand","hand primary osteoarthritis"
"umls:MEDCIN:term_string","primary osteoarthritis of hand (diagnosis)","hand diagnosis primary osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right shoulder","right shoulder post traumatic osteoarthritis"
"umls:MEDCIN:term_string","osteoarthritis post-traumatic shoulder right","osteoarthritis post right"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right shoulder (diagnosis)","right shoulder diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left shoulder","left shoulder post traumatic osteoarthritis"
"umls:MEDCIN:term_string","osteoarthritis post-traumatic shoulder left","osteoarthritis post left"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left shoulder (diagnosis)","left shoulder diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right elbow","right elbow post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right elbow (diagnosis)","right elbow diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left elbow","left elbow post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left elbow (diagnosis)","left elbow diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right wrist","right wrist post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right wrist (diagnosis)","right wrist diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left wrist","left wrist post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left wrist (diagnosis)","left wrist diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right hand","right hand post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of right hand (diagnosis)","right hand diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left hand","left hand post traumatic osteoarthritis"
"umls:MEDCIN:term_string","post-traumatic osteoarthritis of left hand (diagnosis)","left hand diagnosis post traumatic osteoarthritis"
"umls:MEDCIN:term_string","osteoarthritis secondary shoulder right","osteoarthritis shoulder right"
"umls:MEDCIN:term_string","secondary osteoarthritis of right shoulder","right shoulder osteoarthritis"
"umls:MEDCIN:term_string","secondary osteoarthritis of right shoulder (diagnosis)","right shoulder diagnosis osteoarthritis"
"umls:MEDCIN:term_string","osteoarthritis secondary shoulder left","osteoarthritis shoulder left"
